20241219	15:33:01	b52d4441-004a-4476-82b9-3bf50dfcb9b2	/	GET
20241219	15:33:01	81bb4c5a-fb02-4cde-ae72-89761e8987fb	/css/style.css	GET
20241219	15:33:02	05b08ba6-0ff3-4f71-86c9-15f8544c2599	/favicon.ico	GET
20241219	15:33:12	bf3ef3fc-404e-4b09-959d-595a2cccbae9	/old	GET
20241219	15:33:12	a58e9599-6edf-4097-9e8d-4f855f711eef	/css/style.css	GET
20241219	15:33:23	5b44d7ed-f43c-4263-9bf0-831862f11262	/new	GET
20241219	15:33:23	cb59b3f7-2a97-434e-80ce-db14d8bcf181	/css/style.css	GET
20241219	15:34:03	e40db672-87ce-4d73-bd18-aa4f9d5a13ec	/old-page.html	GET
20241219	15:34:03	28404505-042d-4650-8e5e-4ce253fc35db	/new-page.html	GET
20241219	15:34:03	e78b2c75-fadd-4b0f-a8f0-31552ace24f0	/img/img1.jpg	GET
20241219	15:34:03	bbc7b46a-02b3-4b9c-a5d1-fb0e4efbbd1b	/css/style.css	GET
20241219	16:43:24	5b5eb332-973c-4073-abc6-752e54102e33	/	GET
20241219	16:43:25	289c6421-f2a0-46e4-96a6-159b04c6fb3c	/css/style.css	GET
20241219	16:43:28	969a2f55-e517-4f28-8435-cd519dd1f129	/new-page.html	GET
20241219	16:43:29	03bfa51f-cc13-4e1e-9a03-00b6a5ebde1d	/css/style.css	GET
20241219	16:43:29	54c22d68-115b-487c-944a-74d595137f2a	/img/img1.jpg	GET
20241219	16:43:29	00bc43a1-2366-4e7a-b457-66a679382ec2	/favicon.ico	GET
20241219	20:17:40	1a0ea324-eff3-4d8e-b1c7-0dc2e4c6aa41	GET	undefined	/
20241219	20:17:40	47dd8b7e-12db-4185-83cc-8bad9800cc9c	GET	undefined	/css/style.css
20241219	20:25:22	a3a6be5a-85ce-422c-8e46-b436ed75825c	GET	undefined	/
20241219	20:25:22	f0c81578-6b32-4013-960a-58e271b76e70	GET	undefined	/css/style.css
20241219	20:27:15	04211238-8509-4dfb-a2e9-500bd93e274e	OPTIONS	https://www.google.tn	/
20241219	20:27:15	a1e03d9f-46be-4ad9-b08d-33ae148bdb0b	GET	https://www.google.tn	/
20241219	20:31:46	32feb9a9-b934-4031-b085-98c1ea099052	OPTIONS	https://www.google.tn	/
20241219	20:31:46	35cd6f53-b7c6-4988-b73c-071ad5205ea8	GET	https://www.google.tn	/
20241219	20:51:54	033bf3e0-e078-4f9b-9cc0-a8c034ad8f8b	OPTIONS	https://www.google.tn	/
20241219	20:51:54	eb4adf72-a249-48c2-b339-95767ed17874	GET	https://www.google.tn	/
20241219	20:53:59	1b00bc99-5c04-49d5-b0f7-6afb7f63756c	OPTIONS	https://www.google.tn	/
20241219	20:53:59	c070d35c-3c51-48ab-bbad-daf517d5b83d	GET	https://www.google.tn	/
20241219	20:54:15	de118962-6049-47b5-b4c3-cc7a3d8a1792	OPTIONS	https://www.google.tn	/
20241219	20:54:15	b07c3fa5-6a4c-4041-aa89-ca8e35cc4324	GET	https://www.google.tn	/
20241219	20:57:43	e515d06d-8e88-4cde-9437-830e259c4e5d	OPTIONS	https://www.google.tn	/
20241219	20:57:43	789c70e2-a8f7-487b-8ce1-f7b767b8ad28	GET	https://www.google.tn	/
20241219	21:07:14	30819045-f9b5-49d6-8bee-9f00fe50a6d8	GET	undefined	/
20241219	21:09:20	00f49952-6a63-4985-90e5-e664ec39c50c	GET	undefined	/
20241219	21:09:20	3e9bd791-c702-4020-964f-84c8176cbe7b	GET	undefined	/css/style.css
20241219	21:16:41	bfc3c7d6-2fff-458f-b847-25c5d888500e	GET	undefined	/
20241219	21:29:37	115f63da-7ef6-4edf-a3c9-a1a5c7592852	GET	undefined	/an
20241219	21:29:37	31fa5d1e-54e1-4d29-accd-ec3622bc4a25	GET	undefined	/css/style.css
